season,round,circuit_id,driver,date_of_birth,nationality,constructor,grid,time,status,points,podium,url
2009,2,sepang,buemi,1988-10-31,Swiss,toro_rosso,20,,Spun off,0.0,16,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix
2009,2,sepang,sutil,1983-01-11,German,force_india,19,,+1 Lap,0.0,17,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix
2009,2,sepang,fisichella,1973-01-14,Italian,force_india,18,,Spun off,0.0,18,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix
2009,2,sepang,kubica,1984-12-07,Polish,bmw_sauber,6,,Engine,0.0,19,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix
2009,2,sepang,kovalainen,1981-10-19,Finnish,mclaren,14,,Spun off,0.0,20,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix
2009,3,shanghai,vettel,1987-07-03,German,red_bull,1,7063485.0,Finished,10.0,1,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,webber,1976-08-27,Australian,red_bull,3,7074455.0,Finished,8.0,2,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,button,1980-01-19,British,brawn,5,7108460.0,Finished,6.0,3,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,barrichello,1972-05-23,Brazilian,brawn,4,7127189.0,Finished,5.0,4,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,kovalainen,1981-10-19,Finnish,mclaren,12,7128587.0,Finished,4.0,5,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,hamilton,1985-01-07,British,mclaren,9,7135351.0,Finished,3.0,6,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,glock,1982-03-18,German,toyota,19,7137961.0,Finished,2.0,7,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,buemi,1988-10-31,Swiss,toro_rosso,10,7139924.0,Finished,1.0,8,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,alonso,1981-07-29,Spanish,renault,2,7147794.0,Finished,0.0,9,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,raikkonen,1979-10-17,Finnish,ferrari,8,7155235.0,Finished,0.0,10,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,bourdais,1979-02-28,French,toro_rosso,15,7157641.0,Finished,0.0,11,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,heidfeld,1977-05-10,German,bmw_sauber,11,7159319.0,Finished,0.0,12,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,kubica,1984-12-07,Polish,bmw_sauber,17,7170338.0,Finished,0.0,13,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,fisichella,1973-01-14,Italian,force_india,20,,+1 Lap,0.0,14,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,rosberg,1985-06-27,German,williams,7,,+1 Lap,0.0,15,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,piquet_jr,1985-07-25,Brazilian,renault,16,,+2 Laps,0.0,16,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,sutil,1983-01-11,German,force_india,18,,Spun off,0.0,17,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,nakajima,1985-01-11,Japanese,williams,14,,Retired,0.0,18,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,massa,1981-04-25,Brazilian,ferrari,13,,Electronics,0.0,19,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,3,shanghai,trulli,1974-07-13,Italian,toyota,6,,Collision,0.0,20,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
2009,4,bahrain,button,1980-01-19,British,brawn,4,5508182.0,Finished,10.0,1,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,4,bahrain,vettel,1987-07-03,German,red_bull,3,5515369.0,Finished,8.0,2,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,4,bahrain,trulli,1974-07-13,Italian,toyota,1,5517352.0,Finished,6.0,3,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,4,bahrain,hamilton,1985-01-07,British,mclaren,5,5530278.0,Finished,5.0,4,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,4,bahrain,barrichello,1972-05-23,Brazilian,brawn,6,5545961.0,Finished,4.0,5,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,4,bahrain,raikkonen,1979-10-17,Finnish,ferrari,10,5550239.0,Finished,3.0,6,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,4,bahrain,glock,1982-03-18,German,toyota,2,5551062.0,Finished,2.0,7,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,4,bahrain,alonso,1981-07-29,Spanish,renault,7,5560957.0,Finished,1.0,8,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,4,bahrain,rosberg,1985-06-27,German,williams,9,5566380.0,Finished,0.0,9,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,4,bahrain,piquet_jr,1985-07-25,Brazilian,renault,15,5573331.0,Finished,0.0,10,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,4,bahrain,webber,1976-08-27,Australian,red_bull,18,5575823.0,Finished,0.0,11,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,4,bahrain,kovalainen,1981-10-19,Finnish,mclaren,11,5586006.0,Finished,0.0,12,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,4,bahrain,bourdais,1979-02-28,French,toro_rosso,20,5586987.0,Finished,0.0,13,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,4,bahrain,massa,1981-04-25,Brazilian,ferrari,8,,+1 Lap,0.0,14,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,4,bahrain,fisichella,1973-01-14,Italian,force_india,17,,+1 Lap,0.0,15,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,4,bahrain,sutil,1983-01-11,German,force_india,19,,+1 Lap,0.0,16,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
2009,4,bahrain,buemi,1988-10-31,Swiss,toro_rosso,16,,+1 Lap,0.0,17,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
