grid_position,driver_name,car,qualifying_time,season,round
1,Jenson  Button  BUT,Brawn Mercedes,1:26.202,2009,1
2,Rubens  Barrichello  BAR,Brawn Mercedes,1:26.505,2009,1
3,Sebastian  Vettel  VET,RBR Renault,1:26.830,2009,1
4,Robert  Kubica  KUB,Sauber BMW,1:26.914,2009,1
5,Nico  Rosberg  ROS,Williams Toyota,1:26.973,2009,1
6,Felipe  Massa  MAS,Ferrari,1:27.033,2009,1
7,Kimi  Räikkönen  RAI,Ferrari,1:27.163,2009,1
8,Mark  Webber  WEB,RBR Renault,1:27.246,2009,1
9,Nick  Heidfeld  HEI,Sauber BMW,1:25.504,2009,1
10,Fernando  Alonso  ALO,Renault,1:25.605,2009,1
11,Kazuki  Nakajima  NAK,Williams Toyota,1:25.607,2009,1
12,Heikki  Kovalainen  KOV,McLaren Mercedes,1:25.726,2009,1
13,Sebastien  Buemi  BUE,STR Ferrari,1:26.503,2009,1
14,Nelson  Piquet  PIQ,Renault,1:26.598,2009,1
15,Giancarlo  Fisichella  FIS,Force India Mercedes,1:26.677,2009,1
16,Adrian  Sutil  SUT,Force India Mercedes,1:26.742,2009,1
17,Sebastien  Bourdais  BOU,STR Ferrari,1:26.964,2009,1
18,Lewis  Hamilton  HAM,McLaren Mercedes,,2009,1
1,Jenson  Button  BUT,Brawn Mercedes,1:35.181,2009,2
2,Jarno  Trulli  TRU,Toyota,1:35.273,2009,2
3,Timo  Glock  GLO,Toyota,1:35.690,2009,2
4,Nico  Rosberg  ROS,Williams Toyota,1:35.750,2009,2
5,Mark  Webber  WEB,RBR Renault,1:35.797,2009,2
6,Robert  Kubica  KUB,Sauber BMW,1:36.106,2009,2
7,Kimi  Räikkönen  RAI,Ferrari,1:36.170,2009,2
8,Rubens  Barrichello  BAR,Brawn Mercedes,1:35.651,2009,2
9,Fernando  Alonso  ALO,Renault,1:37.659,2009,2
10,Nick  Heidfeld  HEI,Sauber BMW,1:34.769,2009,2
11,Kazuki  Nakajima  NAK,Williams Toyota,1:34.788,2009,2
12,Lewis  Hamilton  HAM,McLaren Mercedes,1:34.905,2009,2
13,Sebastian  Vettel  VET,RBR Renault,1:35.518,2009,2
14,Heikki  Kovalainen  KOV,McLaren Mercedes,1:34.924,2009,2
15,Sebastien  Bourdais  BOU,STR Ferrari,1:35.431,2009,2
16,Felipe  Massa  MAS,Ferrari,1:35.642,2009,2
17,Nelson  Piquet  PIQ,Renault,1:35.708,2009,2
18,Giancarlo  Fisichella  FIS,Force India Mercedes,1:35.908,2009,2
19,Adrian  Sutil  SUT,Force India Mercedes,1:35.951,2009,2
20,Sebastien  Buemi  BUE,STR Ferrari,1:36.107,2009,2
1,Sebastian  Vettel  VET,RBR Renault,1:36.184,2009,3
2,Fernando  Alonso  ALO,Renault,1:36.381,2009,3
3,Mark  Webber  WEB,RBR Renault,1:36.466,2009,3
4,Rubens  Barrichello  BAR,Brawn Mercedes,1:36.493,2009,3
5,Jenson  Button  BUT,Brawn Mercedes,1:36.532,2009,3
6,Jarno  Trulli  TRU,Toyota,1:36.835,2009,3
7,Nico  Rosberg  ROS,Williams Toyota,1:37.397,2009,3
8,Kimi  Räikkönen  RAI,Ferrari,1:38.089,2009,3
9,Lewis  Hamilton  HAM,McLaren Mercedes,1:38.595,2009,3
10,Sebastien  Buemi  BUE,STR Ferrari,1:39.321,2009,3
11,Nick  Heidfeld  HEI,Sauber BMW,1:35.975,2009,3
12,Heikki  Kovalainen  KOV,McLaren Mercedes,1:36.032,2009,3
13,Felipe  Massa  MAS,Ferrari,1:36.033,2009,3
14,Kazuki  Nakajima  NAK,Williams Toyota,1:36.193,2009,3
15,Sebastien  Bourdais  BOU,STR Ferrari,1:36.906,2009,3
16,Nelson  Piquet  PIQ,Renault,1:36.908,2009,3
17,Robert  Kubica  KUB,Sauber BMW,1:36.966,2009,3
18,Adrian  Sutil  SUT,Force India Mercedes,1:37.669,2009,3
19,Timo  Glock  GLO,Toyota,1:36.066,2009,3
20,Giancarlo  Fisichella  FIS,Force India Mercedes,1:37.672,2009,3
1,Jarno  Trulli  TRU,Toyota,1:33.431,2009,4
2,Timo  Glock  GLO,Toyota,1:33.712,2009,4
3,Sebastian  Vettel  VET,RBR Renault,1:34.015,2009,4
4,Jenson  Button  BUT,Brawn Mercedes,1:34.044,2009,4
5,Lewis  Hamilton  HAM,McLaren Mercedes,1:34.196,2009,4
6,Rubens  Barrichello  BAR,Brawn Mercedes,1:34.239,2009,4
7,Fernando  Alonso  ALO,Renault,1:34.578,2009,4
8,Felipe  Massa  MAS,Ferrari,1:34.818,2009,4
9,Nico  Rosberg  ROS,Williams Toyota,1:35.134,2009,4
10,Kimi  Räikkönen  RAI,Ferrari,1:35.380,2009,4
11,Heikki  Kovalainen  KOV,McLaren Mercedes,1:33.242,2009,4
12,Kazuki  Nakajima  NAK,Williams Toyota,1:33.348,2009,4
13,Robert  Kubica  KUB,Sauber BMW,1:33.487,2009,4
14,Nick  Heidfeld  HEI,Sauber BMW,1:33.562,2009,4
15,Nelson  Piquet  PIQ,Renault,1:33.941,2009,4
16,Sebastien  Buemi  BUE,STR Ferrari,1:33.753,2009,4
17,Giancarlo  Fisichella  FIS,Force India Mercedes,1:33.910,2009,4
18,Mark  Webber  WEB,RBR Renault,1:34.038,2009,4
19,Adrian  Sutil  SUT,Force India Mercedes,1:33.722,2009,4
20,Sebastien  Bourdais  BOU,STR Ferrari,1:34.159,2009,4
1,Jenson  Button  BUT,Brawn Mercedes,1:20.527,2009,5
2,Sebastian  Vettel  VET,RBR Renault,1:20.660,2009,5
3,Rubens  Barrichello  BAR,Brawn Mercedes,1:20.762,2009,5
4,Felipe  Massa  MAS,Ferrari,1:20.934,2009,5
5,Mark  Webber  WEB,RBR Renault,1:21.049,2009,5
6,Timo  Glock  GLO,Toyota,1:21.247,2009,5
7,Jarno  Trulli  TRU,Toyota,1:21.254,2009,5
8,Fernando  Alonso  ALO,Renault,1:21.392,2009,5
9,Nico  Rosberg  ROS,Williams Toyota,1:22.558,2009,5
10,Robert  Kubica  KUB,Sauber BMW,1:22.685,2009,5
11,Kazuki  Nakajima  NAK,Williams Toyota,1:20.531,2009,5
12,Nelson  Piquet  PIQ,Renault,1:20.604,2009,5
13,Nick  Heidfeld  HEI,Sauber BMW,1:20.676,2009,5
14,Lewis  Hamilton  HAM,McLaren Mercedes,1:20.805,2009,5
15,Sebastien  Buemi  BUE,STR Ferrari,1:21.067,2009,5
16,Kimi  Räikkönen  RAI,Ferrari,1:21.291,2009,5
17,Sebastien  Bourdais  BOU,STR Ferrari,1:21.300,2009,5
18,Heikki  Kovalainen  KOV,McLaren Mercedes,1:21.675,2009,5
19,Adrian  Sutil  SUT,Force India Mercedes,1:21.742,2009,5
20,Giancarlo  Fisichella  FIS,Force India Mercedes,1:22.204,2009,5
1,Jenson  Button  BUT,Brawn Mercedes,1:14.902,2009,6
2,Kimi  Räikkönen  RAI,Ferrari,1:14.927,2009,6
3,Rubens  Barrichello  BAR,Brawn Mercedes,1:15.077,2009,6
4,Sebastian  Vettel  VET,RBR Renault,1:15.271,2009,6
5,Felipe  Massa  MAS,Ferrari,1:15.437,2009,6
6,Nico  Rosberg  ROS,Williams Toyota,1:15.455,2009,6
7,Heikki  Kovalainen  KOV,McLaren Mercedes,1:15.516,2009,6
8,Mark  Webber  WEB,RBR Renault,1:15.653,2009,6
9,Fernando  Alonso  ALO,Renault,1:16.009,2009,6
10,Kazuki  Nakajima  NAK,Williams Toyota,1:17.344,2009,6
11,Sebastien  Buemi  BUE,STR Ferrari,1:15.833,2009,6
12,Nelson  Piquet  PIQ,Renault,1:15.837,2009,6
13,Giancarlo  Fisichella  FIS,Force India Mercedes,1:16.146,2009,6
14,Sebastien  Bourdais  BOU,STR Ferrari,1:16.281,2009,6
15,Adrian  Sutil  SUT,Force India Mercedes,1:16.545,2009,6
16,Nick  Heidfeld  HEI,Sauber BMW,1:16.264,2009,6
17,Robert  Kubica  KUB,Sauber BMW,1:16.405,2009,6
18,Jarno  Trulli  TRU,Toyota,1:16.548,2009,6
19,Lewis  Hamilton  HAM,McLaren Mercedes,1:16.264,2009,6
1,Sebastian  Vettel  VET,RBR Renault,1:28.316,2009,7
2,Jenson  Button  BUT,Brawn Mercedes,1:28.421,2009,7
3,Rubens  Barrichello  BAR,Brawn Mercedes,1:28.579,2009,7
4,Mark  Webber  WEB,RBR Renault,1:28.613,2009,7
5,Jarno  Trulli  TRU,Toyota,1:28.666,2009,7
6,Kimi  Räikkönen  RAI,Ferrari,1:28.815,2009,7
7,Felipe  Massa  MAS,Ferrari,1:28.858,2009,7
8,Fernando  Alonso  ALO,Renault,1:29.075,2009,7
9,Nico  Rosberg  ROS,Williams Toyota,1:29.191,2009,7
10,Robert  Kubica  KUB,Sauber BMW,1:29.357,2009,7
11,Nick  Heidfeld  HEI,Sauber BMW,1:27.521,2009,7
12,Kazuki  Nakajima  NAK,Williams Toyota,1:27.629,2009,7
13,Timo  Glock  GLO,Toyota,1:27.795,2009,7
14,Heikki  Kovalainen  KOV,McLaren Mercedes,1:28.207,2009,7
15,Adrian  Sutil  SUT,Force India Mercedes,1:28.391,2009,7
16,Lewis  Hamilton  HAM,McLaren Mercedes,1:28.318,2009,7
17,Nelson  Piquet  PIQ,Renault,1:28.582,2009,7
18,Sebastien  Buemi  BUE,STR Ferrari,1:28.708,2009,7
19,Giancarlo  Fisichella  FIS,Force India Mercedes,1:28.717,2009,7
20,Sebastien  Bourdais  BOU,STR Ferrari,1:28.918,2009,7
1,Sebastian  Vettel  VET,RBR Renault,1:19.509,2009,8
2,Rubens  Barrichello  BAR,Brawn Mercedes,1:19.856,2009,8
3,Mark  Webber  WEB,RBR Renault,1:19.868,2009,8
4,Jarno  Trulli  TRU,Toyota,1:20.091,2009,8
5,Kazuki  Nakajima  NAK,Williams Toyota,1:20.216,2009,8
6,Jenson  Button  BUT,Brawn Mercedes,1:20.289,2009,8
7,Nico  Rosberg  ROS,Williams Toyota,1:20.361,2009,8
8,Timo  Glock  GLO,Toyota,1:20.490,2009,8
9,Kimi  Räikkönen  RAI,Ferrari,1:20.715,2009,8
10,Fernando  Alonso  ALO,Renault,1:20.741,2009,8
11,Felipe  Massa  MAS,Ferrari,1:18.927,2009,8
12,Robert  Kubica  KUB,Sauber BMW,1:19.308,2009,8
13,Heikki  Kovalainen  KOV,McLaren Mercedes,1:19.353,2009,8
14,Nelson  Piquet  PIQ,Renault,1:19.392,2009,8
15,Nick  Heidfeld  HEI,Sauber BMW,1:19.448,2009,8
16,Giancarlo  Fisichella  FIS,Force India Mercedes,1:19.802,2009,8
17,Sebastien  Bourdais  BOU,STR Ferrari,1:19.898,2009,8
18,Lewis  Hamilton  HAM,McLaren Mercedes,1:19.917,2009,8
19,Sebastien  Buemi  BUE,STR Ferrari,1:20.236,2009,8
1,Mark  Webber  WEB,RBR Renault,1:32.230,2009,9
2,Rubens  Barrichello  BAR,Brawn Mercedes,1:32.357,2009,9
3,Jenson  Button  BUT,Brawn Mercedes,1:32.473,2009,9
4,Sebastian  Vettel  VET,RBR Renault,1:32.480,2009,9
5,Lewis  Hamilton  HAM,McLaren Mercedes,1:32.616,2009,9
6,Heikki  Kovalainen  KOV,McLaren Mercedes,1:33.859,2009,9
7,Adrian  Sutil  SUT,Force India Mercedes,1:34.316,2009,9
8,Felipe  Massa  MAS,Ferrari,1:34.574,2009,9
9,Kimi  Räikkönen  RAI,Ferrari,1:34.710,2009,9
10,Nelson  Piquet  PIQ,Renault,1:34.803,2009,9
11,Nick  Heidfeld  HEI,Sauber BMW,1:42.310,2009,9
12,Fernando  Alonso  ALO,Renault,1:42.318,2009,9
13,Kazuki  Nakajima  NAK,Williams Toyota,1:42.500,2009,9
14,Jarno  Trulli  TRU,Toyota,1:42.771,2009,9
15,Nico  Rosberg  ROS,Williams Toyota,1:42.859,2009,9
16,Robert  Kubica  KUB,Sauber BMW,1:32.190,2009,9
17,Sebastien  Buemi  BUE,STR Ferrari,1:32.251,2009,9
18,Giancarlo  Fisichella  FIS,Force India Mercedes,1:32.402,2009,9
19,Timo  Glock  GLO,Toyota,1:32.423,2009,9
20,Sebastien  Bourdais  BOU,STR Ferrari,1:33.559,2009,9
1,Fernando  Alonso  ALO,Renault,1:21.569,2009,10
2,Sebastian  Vettel  VET,RBR Renault,1:21.607,2009,10
3,Mark  Webber  WEB,RBR Renault,1:21.741,2009,10
4,Lewis  Hamilton  HAM,McLaren Mercedes,1:21.839,2009,10
5,Nico  Rosberg  ROS,Williams Toyota,1:21.890,2009,10
6,Heikki  Kovalainen  KOV,McLaren Mercedes,1:22.095,2009,10
7,Kimi  Räikkönen  RAI,Ferrari,1:22.468,2009,10
8,Jenson  Button  BUT,Brawn Mercedes,1:22.511,2009,10
9,Kazuki  Nakajima  NAK,Williams Toyota,1:22.835,2009,10
10,Sebastien  Buemi  BUE,STR Ferrari,1:21.002,2009,10
11,Jarno  Trulli  TRU,Toyota,1:21.082,2009,10
12,Rubens  Barrichello  BAR,Brawn Mercedes,1:21.222,2009,10
13,Timo  Glock  GLO,Toyota,1:21.242,2009,10
14,Nelson  Piquet  PIQ,Renault,1:21.389,2009,10
15,Nick  Heidfeld  HEI,Sauber BMW,1:21.738,2009,10
16,Giancarlo  Fisichella  FIS,Force India Mercedes,1:21.807,2009,10
17,Adrian  Sutil  SUT,Force India Mercedes,1:21.868,2009,10
18,Robert  Kubica  KUB,Sauber BMW,1:21.901,2009,10
19,Jaime  Alguersuari  ALG,STR Ferrari,1:22.359,2009,10
1,Lewis  Hamilton  HAM,McLaren Mercedes,1:39.498,2009,11
2,Heikki  Kovalainen  KOV,McLaren Mercedes,1:39.532,2009,11
3,Rubens  Barrichello  BAR,Brawn Mercedes,1:39.563,2009,11
4,Sebastian  Vettel  VET,RBR Renault,1:39.789,2009,11
5,Jenson  Button  BUT,Brawn Mercedes,1:39.821,2009,11
6,Kimi  Räikkönen  RAI,Ferrari,1:40.144,2009,11
7,Nico  Rosberg  ROS,Williams Toyota,1:40.185,2009,11
8,Fernando  Alonso  ALO,Renault,1:40.236,2009,11
9,Mark  Webber  WEB,RBR Renault,1:40.239,2009,11
10,Robert  Kubica  KUB,Sauber BMW,1:40.512,2009,11
11,Nick  Heidfeld  HEI,Sauber BMW,1:38.826,2009,11
12,Adrian  Sutil  SUT,Force India Mercedes,1:38.846,2009,11
13,Timo  Glock  GLO,Toyota,1:38.991,2009,11
14,Romain  Grosjean  GRO,Renault,1:39.040,2009,11
15,Sebastien  Buemi  BUE,STR Ferrari,1:39.514,2009,11
16,Giancarlo  Fisichella  FIS,Force India Mercedes,1:39.531,2009,11
17,Kazuki  Nakajima  NAK,Williams Toyota,1:39.795,2009,11
18,Jarno  Trulli  TRU,Toyota,1:39.807,2009,11
19,Jaime  Alguersuari  ALG,STR Ferrari,1:39.925,2009,11
20,Luca  Badoer  BAD,Ferrari,1:41.413,2009,11
1,Giancarlo  Fisichella  FIS,Force India Mercedes,1:46.308,2009,12
2,Jarno  Trulli  TRU,Toyota,1:46.395,2009,12
3,Nick  Heidfeld  HEI,Sauber BMW,1:46.500,2009,12
4,Rubens  Barrichello  BAR,Brawn Mercedes,1:46.513,2009,12
5,Robert  Kubica  KUB,Sauber BMW,1:46.586,2009,12
6,Kimi  Räikkönen  RAI,Ferrari,1:46.633,2009,12
7,Timo  Glock  GLO,Toyota,1:46.677,2009,12
8,Sebastian  Vettel  VET,RBR Renault,1:46.761,2009,12
9,Mark  Webber  WEB,RBR Renault,1:46.788,2009,12
10,Nico  Rosberg  ROS,Williams Toyota,1:47.362,2009,12
11,Adrian  Sutil  SUT,Force India Mercedes,1:45.119,2009,12
12,Lewis  Hamilton  HAM,McLaren Mercedes,1:45.122,2009,12
13,Fernando  Alonso  ALO,Renault,1:45.136,2009,12
14,Jenson  Button  BUT,Brawn Mercedes,1:45.251,2009,12
15,Heikki  Kovalainen  KOV,McLaren Mercedes,1:45.259,2009,12
16,Sebastien  Buemi  BUE,STR Ferrari,1:45.951,2009,12
17,Jaime  Alguersuari  ALG,STR Ferrari,1:46.032,2009,12
18,Kazuki  Nakajima  NAK,Williams Toyota,1:46.307,2009,12
19,Romain  Grosjean  GRO,Renault,1:46.359,2009,12
20,Luca  Badoer  BAD,Ferrari,1:46.957,2009,12
1,Lewis  Hamilton  HAM,McLaren Mercedes,1:24.066,2009,13
2,Adrian  Sutil  SUT,Force India Mercedes,1:24.261,2009,13
3,Kimi  Räikkönen  RAI,Ferrari,1:24.523,2009,13
4,Heikki  Kovalainen  KOV,McLaren Mercedes,1:24.845,2009,13
5,Rubens  Barrichello  BAR,Brawn Mercedes,1:25.015,2009,13
6,Jenson  Button  BUT,Brawn Mercedes,1:25.030,2009,13
7,Vitantonio  Liuzzi  LIU,Force India Mercedes,1:25.043,2009,13
8,Fernando  Alonso  ALO,Renault,1:25.072,2009,13
9,Sebastian  Vettel  VET,RBR Renault,1:25.180,2009,13
10,Mark  Webber  WEB,RBR Renault,1:25.314,2009,13
11,Jarno  Trulli  TRU,Toyota,1:23.611,2009,13
12,Romain  Grosjean  GRO,Renault,1:23.728,2009,13
13,Robert  Kubica  KUB,Sauber BMW,1:23.866,2009,13
14,Giancarlo  Fisichella  FIS,Ferrari,1:23.901,2009,13
15,Nick  Heidfeld  HEI,Sauber BMW,1:24.275,2009,13
16,Timo  Glock  GLO,Toyota,1:24.036,2009,13
17,Kazuki  Nakajima  NAK,Williams Toyota,1:24.074,2009,13
18,Nico  Rosberg  ROS,Williams Toyota,1:24.121,2009,13
19,Sebastien  Buemi  BUE,STR Ferrari,1:24.220,2009,13
1,Lewis  Hamilton  HAM,McLaren Mercedes,1:47.891,2009,14
2,Sebastian  Vettel  VET,RBR Renault,1:48.204,2009,14
3,Nico  Rosberg  ROS,Williams Toyota,1:48.348,2009,14
4,Mark  Webber  WEB,RBR Renault,1:48.722,2009,14
5,Fernando  Alonso  ALO,Renault,1:49.054,2009,14
6,Timo  Glock  GLO,Toyota,1:49.180,2009,14
7,Robert  Kubica  KUB,Sauber BMW,1:49.514,2009,14
8,Heikki  Kovalainen  KOV,McLaren Mercedes,1:49.778,2009,14
9,Rubens  Barrichello  BAR,Brawn Mercedes,1:48.828,2009,14
10,Kazuki  Nakajima  NAK,Williams Toyota,1:47.013,2009,14
11,Jenson  Button  BUT,Brawn Mercedes,1:47.141,2009,14
12,Kimi  Räikkönen  RAI,Ferrari,1:47.177,2009,14
13,Sebastien  Buemi  BUE,STR Ferrari,1:47.369,2009,14
14,Jarno  Trulli  TRU,Toyota,1:47.413,2009,14
15,Adrian  Sutil  SUT,Force India Mercedes,1:48.231,2009,14
16,Jaime  Alguersuari  ALG,STR Ferrari,1:48.340,2009,14
17,Giancarlo  Fisichella  FIS,Ferrari,1:48.350,2009,14
18,Romain  Grosjean  GRO,Renault,1:48.544,2009,14
19,Vitantonio  Liuzzi  LIU,Force India Mercedes,1:48.792,2009,14
1,Sebastian  Vettel  VET,RBR Renault,1:32.160,2009,15
2,Jarno  Trulli  TRU,Toyota,1:32.220,2009,15
3,Lewis  Hamilton  HAM,McLaren Mercedes,1:32.395,2009,15
4,Nick  Heidfeld  HEI,Sauber BMW,1:32.945,2009,15
5,Kimi  Räikkönen  RAI,Ferrari,1:32.980,2009,15
6,Rubens  Barrichello  BAR,Brawn Mercedes,1:32.660,2009,15
7,Nico  Rosberg  ROS,Williams Toyota,1:31.482,2009,15
8,Adrian  Sutil  SUT,Force India Mercedes,1:32.466,2009,15
9,Robert  Kubica  KUB,Sauber BMW,1:32.341,2009,15
10,Jenson  Button  BUT,Brawn Mercedes,1:32.962,2009,15
11,Heikki  Kovalainen  KOV,McLaren Mercedes,,2009,15
12,Jaime  Alguersuari  ALG,STR Ferrari,,2009,15
13,Sebastien  Buemi  BUE,STR Ferrari,,2009,15
14,Giancarlo  Fisichella  FIS,Ferrari,1:31.704,2009,15
15,Kazuki  Nakajima  NAK,Williams Toyota,1:31.718,2009,15
16,Fernando  Alonso  ALO,Renault,1:31.638,2009,15
17,Romain  Grosjean  GRO,Renault,1:32.073,2009,15
18,Vitantonio  Liuzzi  LIU,Force India Mercedes,1:32.087,2009,15
1,Rubens  Barrichello  BAR,Brawn Mercedes,1:19.576,2009,16
2,Mark  Webber  WEB,RBR Renault,1:19.668,2009,16
3,Adrian  Sutil  SUT,Force India Mercedes,1:19.912,2009,16
4,Jarno  Trulli  TRU,Toyota,1:20.097,2009,16
5,Kimi  Räikkönen  RAI,Ferrari,1:20.168,2009,16
6,Sebastien  Buemi  BUE,STR Ferrari,1:20.250,2009,16
7,Nico  Rosberg  ROS,Williams Toyota,1:20.326,2009,16
8,Robert  Kubica  KUB,Sauber BMW,1:20.631,2009,16
9,Kazuki  Nakajima  NAK,Williams Toyota,1:20.674,2009,16
10,Fernando  Alonso  ALO,Renault,1:21.422,2009,16
11,Kamui  Kobayashi  KOB,Toyota,1:21.960,2009,16
12,Jaime  Alguersuari  ALG,STR Ferrari,1:22.231,2009,16
13,Romain  Grosjean  GRO,Renault,1:22.477,2009,16
14,Jenson  Button  BUT,Brawn Mercedes,1:22.504,2009,16
15,Sebastian  Vettel  VET,RBR Renault,1:25.009,2009,16
16,Heikki  Kovalainen  KOV,McLaren Mercedes,1:25.052,2009,16
17,Lewis  Hamilton  HAM,McLaren Mercedes,1:25.192,2009,16
18,Nick  Heidfeld  HEI,Sauber BMW,1:25.515,2009,16
19,Giancarlo  Fisichella  FIS,Ferrari,1:40.703,2009,16
20,Vitantonio  Liuzzi  LIU,Force India Mercedes,,2009,16
1,Lewis  Hamilton  HAM,McLaren Mercedes,1:40.948,2009,17
2,Sebastian  Vettel  VET,RBR Renault,1:41.615,2009,17
3,Mark  Webber  WEB,RBR Renault,1:41.726,2009,17
4,Rubens  Barrichello  BAR,Brawn Mercedes,1:41.786,2009,17
5,Jenson  Button  BUT,Brawn Mercedes,1:41.892,2009,17
6,Jarno  Trulli  TRU,Toyota,1:41.897,2009,17
7,Robert  Kubica  KUB,Sauber BMW,1:41.992,2009,17
8,Nick  Heidfeld  HEI,Sauber BMW,1:42.343,2009,17
9,Nico  Rosberg  ROS,Williams Toyota,1:42.583,2009,17
10,Sebastien  Buemi  BUE,STR Ferrari,1:42.713,2009,17
11,Kimi  Räikkönen  RAI,Ferrari,1:40.726,2009,17
12,Kamui  Kobayashi  KOB,Toyota,1:40.777,2009,17
13,Kazuki  Nakajima  NAK,Williams Toyota,1:41.148,2009,17
14,Jaime  Alguersuari  ALG,STR Ferrari,1:41.689,2009,17
15,Fernando  Alonso  ALO,Renault,1:41.667,2009,17
16,Vitantonio  Liuzzi  LIU,Force India Mercedes,1:41.701,2009,17
17,Adrian  Sutil  SUT,Force India Mercedes,1:41.863,2009,17
18,Heikki  Kovalainen  KOV,McLaren Mercedes,1:40.983,2009,17
19,Romain  Grosjean  GRO,Renault,1:41.950,2009,17
20,Giancarlo  Fisichella  FIS,Ferrari,1:42.184,2009,17
1,Sebastian  Vettel  VET,RBR Renault,1:54.101,2010,1
2,Felipe  Massa  MAS,Ferrari,1:54.242,2010,1
3,Fernando  Alonso  ALO,Ferrari,1:54.608,2010,1
4,Lewis  Hamilton  HAM,McLaren Mercedes,1:55.217,2010,1
5,Nico  Rosberg  ROS,Mercedes,1:55.241,2010,1
6,Mark  Webber  WEB,RBR Renault,1:55.284,2010,1
7,Michael  Schumacher  MSC,Mercedes,1:55.524,2010,1
8,Jenson  Button  BUT,McLaren Mercedes,1:55.672,2010,1
9,Robert  Kubica  KUB,Renault,1:55.885,2010,1
10,Adrian  Sutil  SUT,Force India Mercedes,1:56.309,2010,1
11,Rubens  Barrichello  BAR,Williams Cosworth,1:55.330,2010,1
12,Vitantonio  Liuzzi  LIU,Force India Mercedes,1:55.653,2010,1
13,Nico  Hulkenberg  HUL,Williams Cosworth,1:55.857,2010,1
14,Pedro  de la Rosa  DLR,Sauber Ferrari,1:56.237,2010,1
15,Sebastien  Buemi  BUE,STR Ferrari,1:56.265,2010,1
16,Kamui  Kobayashi  KOB,Sauber Ferrari,1:56.270,2010,1
17,Vitaly  Petrov  PET,Renault,1:56.619,2010,1
18,Jaime  Alguersuari  ALG,STR Ferrari,1:57.071,2010,1
19,Timo  Glock  GLO,Virgin Cosworth,1:59.728,2010,1
20,Jarno  Trulli  TRU,Lotus Cosworth,1:59.852,2010,1
21,Heikki  Kovalainen  KOV,Lotus Cosworth,2:00.313,2010,1
22,Lucas  di Grassi  DIG,Virgin Cosworth,2:00.587,2010,1
1,Sebastian  Vettel  VET,RBR Renault,1:23.919,2010,2
2,Mark  Webber  WEB,RBR Renault,1:24.035,2010,2
3,Fernando  Alonso  ALO,Ferrari,1:24.111,2010,2
4,Jenson  Button  BUT,McLaren Mercedes,1:24.675,2010,2
5,Felipe  Massa  MAS,Ferrari,1:24.837,2010,2
6,Nico  Rosberg  ROS,Mercedes,1:24.884,2010,2
7,Michael  Schumacher  MSC,Mercedes,1:24.927,2010,2
8,Rubens  Barrichello  BAR,Williams Cosworth,1:25.217,2010,2
9,Robert  Kubica  KUB,Renault,1:25.372,2010,2
10,Adrian  Sutil  SUT,Force India Mercedes,1:26.036,2010,2
11,Lewis  Hamilton  HAM,McLaren Mercedes,1:25.184,2010,2
12,Sebastien  Buemi  BUE,STR Ferrari,1:25.638,2010,2
13,Vitantonio  Liuzzi  LIU,Force India Mercedes,1:25.743,2010,2
14,Pedro  de la Rosa  DLR,Sauber Ferrari,1:25.747,2010,2
15,Nico  Hulkenberg  HUL,Williams Cosworth,1:25.748,2010,2
16,Kamui  Kobayashi  KOB,Sauber Ferrari,1:25.777,2010,2
17,Jaime  Alguersuari  ALG,STR Ferrari,1:26.089,2010,2
18,Vitaly  Petrov  PET,Renault,1:26.471,2010,2
19,Heikki  Kovalainen  KOV,Lotus Cosworth,1:28.797,2010,2
20,Jarno  Trulli  TRU,Lotus Cosworth,1:29.111,2010,2
21,Bruno  Senna  SEN,HRT Cosworth,1:30.526,2010,2
22,Karun  Chandhok  CHD,HRT Cosworth,1:30.613,2010,2
1,Mark  Webber  WEB,RBR Renault,1:49.327,2010,3
2,Nico  Rosberg  ROS,Mercedes,1:50.673,2010,3
3,Sebastian  Vettel  VET,RBR Renault,1:50.789,2010,3
4,Adrian  Sutil  SUT,Force India Mercedes,1:50.914,2010,3
5,Nico  Hulkenberg  HUL,Williams Cosworth,1:51.001,2010,3
6,Robert  Kubica  KUB,Renault,1:51.051,2010,3
7,Rubens  Barrichello  BAR,Williams Cosworth,1:51.511,2010,3
8,Michael  Schumacher  MSC,Mercedes,1:51.717,2010,3
9,Kamui  Kobayashi  KOB,Sauber Ferrari,1:51.767,2010,3
10,Vitantonio  Liuzzi  LIU,Force India Mercedes,1:52.254,2010,3
11,Vitaly  Petrov  PET,Renault,1:48.760,2010,3
12,Pedro  de la Rosa  DLR,Sauber Ferrari,1:48.771,2010,3
13,Sebastien  Buemi  BUE,STR Ferrari,1:49.207,2010,3
14,Jaime  Alguersuari  ALG,STR Ferrari,1:49.464,2010,3
15,Heikki  Kovalainen  KOV,Lotus Cosworth,1:52.270,2010,3
16,Timo  Glock  GLO,Virgin Cosworth,1:52.520,2010,3
17,Jenson  Button  BUT,McLaren Mercedes,,2010,3
18,Jarno  Trulli  TRU,Lotus Cosworth,1:52.884,2010,3
19,Fernando  Alonso  ALO,Ferrari,1:53.044,2010,3
20,Lewis  Hamilton  HAM,McLaren Mercedes,1:53.050,2010,3
21,Felipe  Massa  MAS,Ferrari,1:53.283,2010,3
22,Karun  Chandhok  CHD,HRT Cosworth,1:56.299,2010,3
23,Bruno  Senna  SEN,HRT Cosworth,1:57.269,2010,3
